-0.000857,0.023884,0.767600,-0.024651,-0.030068,-0.688744,0.723961,0.148737,0.082280,0.128034,0.144754,-0.258363,-0.073937,0.175671,-0.116844,-0.374902,0.122082,-0.178200,0.115464,-0.011889,-0.004906,0.199775,0.011604,0.197654,-0.621114,1.131164,0.055952,0.067776,0.260956,-0.060969,-0.113155,0.436753,1.213983,-0.251318,0.060505,-0.135813
-0.000806,0.023806,0.767621,-0.024486,-0.029876,-0.688653,0.724061,0.148214,0.082205,0.127701,0.144702,-0.258285,-0.073738,0.175243,-0.116918,-0.374871,0.122087,-0.178198,0.115382,-0.012326,-0.004623,0.199986,0.011935,0.198029,-0.620163,1.129826,0.055692,0.068537,0.260308,-0.059268,-0.112765,0.433604,1.210937,-0.250513,0.060313,-0.135828
-0.000720,0.023754,0.767624,-0.024156,-0.029514,-0.688593,0.724144,0.147479,0.082002,0.127532,0.143909,-0.258034,-0.074289,0.174456,-0.116983,-0.375328,0.121720,-0.177991,0.115533,-0.013227,-0.004647,0.198890,0.012664,0.198336,-0.620391,1.129657,0.057685,0.068310,0.261076,-0.059542,-0.112424,0.431286,1.210402,-0.253585,0.061071,-0.135761
-0.000553,0.023771,0.767668,-0.024129,-0.029529,-0.689042,0.723718,0.147381,0.081810,0.128817,0.144757,-0.258506,-0.072732,0.173654,-0.117380,-0.373987,0.122588,-0.178097,0.115213,-0.012525,-0.004243,0.199220,0.012607,0.198403,-0.620139,1.129455,0.055536,0.067202,0.259845,-0.061251,-0.112368,0.430748,1.211033,-0.252947,0.060532,-0.135457
-0.000545,0.023696,0.767609,-0.024177,-0.029443,-0.689011,0.723749,0.148031,0.081990,0.128999,0.143548,-0.258274,-0.074265,0.174085,-0.117068,-0.374083,0.121785,-0.177807,0.115866,-0.013126,-0.003994,0.199149,0.013226,0.198253,-0.616943,1.129326,0.057449,0.067457,0.260287,-0.061288,-0.112247,0.428077,1.209718,-0.254095,0.060477,-0.135363
-0.000372,0.023674,0.767691,-0.023837,-0.029090,-0.689405,0.723399,0.146863,0.081839,0.129801,0.144224,-0.258313,-0.072806,0.172549,-0.117330,-0.372772,0.122099,-0.177230,0.115996,-0.013713,-0.003268,0.198317,0.012536,0.198136,-0.615528,1.130746,0.054148,0.066751,0.258070,-0.062579,-0.112045,0.426714,1.209891,-0.255172,0.060073,-0.136246
-0.000210,0.023546,0.767680,-0.023610,-0.028800,-0.689741,0.723098,0.146796,0.081770,0.130846,0.143574,-0.258143,-0.073004,0.171827,-0.117459,-0.372127,0.121690,-0.176895,0.116750,-0.013331,-0.002821,0.197664,0.011197,0.197831,-0.615276,1.132762,0.057310,0.068893,0.261420,-0.064174,-0.111860,0.427099,1.209983,-0.254630,0.060122,-0.135208
-0.000026,0.023455,0.767705,-0.023438,-0.028613,-0.690571,0.722318,0.147093,0.081685,0.133154,0.143209,-0.258247,-0.072640,0.170675,-0.117636,-0.369628,0.121850,-0.176481,0.117336,-0.011321,-0.002093,0.196877,0.009530,0.197254,-0.613649,1.134599,0.054805,0.067539,0.261270,-0.066758,-0.111982,0.428632,1.210739,-0.252838,0.060350,-0.132684
0.000256,0.023376,0.767704,-0.023376,-0.028233,-0.691827,0.721132,0.147679,0.082056,0.136359,0.142681,-0.258949,-0.072391,0.169110,-0.117364,-0.366140,0.121833,-0.175622,0.118006,-0.010587,-0.000327,0.196166,0.008775,0.195717,-0.607022,1.135369,0.056032,0.067679,0.261217,-0.069939,-0.112410,0.430543,1.212299,-0.253454,0.059684,-0.133927
0.000499,0.023276,0.767725,-0.023267,-0.028009,-0.692829,0.720182,0.148506,0.082061,0.138930,0.141549,-0.258685,-0.073103,0.167910,-0.117458,-0.363470,0.121888,-0.175103,0.118521,-0.009159,0.001035,0.195382,0.006663,0.193943,-0.601935,1.137538,0.053519,0.066484,0.258442,-0.073330,-0.113019,0.433820,1.213795,-0.245238,0.058130,-0.132126
0.000688,0.023160,0.767750,-0.022876,-0.027561,-0.693735,0.719339,0.147883,0.082102,0.141432,0.141788,-0.259098,-0.071884,0.166008,-0.117523,-0.361165,0.121903,-0.174592,0.119058,-0.008496,0.001732,0.193386,0.005176,0.192813,-0.598130,1.138586,0.051516,0.066333,0.260796,-0.076288,-0.113283,0.435496,1.214178,-0.245729,0.058841,-0.129447
0.000930,0.022939,0.767716,-0.022974,-0.027525,-0.694745,0.718362,0.149349,0.082211,0.144388,0.141251,-0.259535,-0.072087,0.165543,-0.117522,-0.358357,0.122153,-0.174592,0.119363,-0.008077,0.002442,0.192477,0.004169,0.191588,-0.591769,1.138295,0.055630,0.066052,0.262099,-0.078440,-0.112968,0.433496,1.213883,-0.250710,0.059113,-0.128445
0.001098,0.022685,0.767693,-0.022910,-0.027486,-0.695128,0.717995,0.149978,0.081980,0.145529,0.141010,-0.259853,-0.071857,0.165437,-0.117770,-0.357231,0.122282,-0.174759,0.119708,-0.008075,0.002523,0.191211,0.002320,0.190948,-0.588608,1.139013,0.053803,0.065338,0.258976,-0.081201,-0.112692,0.435787,1.214450,-0.252018,0.059976,-0.129370
0.001222,0.022441,0.767636,-0.023222,-0.027621,-0.695393,0.717723,0.151225,0.082256,0.146211,0.141254,-0.260809,-0.071893,0.166280,-0.117606,-0.356624,0.122405,-0.175074,0.119843,-0.008413,0.001853,0.189324,0.001005,0.190341,-0.587117,1.140528,0.056850,0.068017,0.260281,-0.086567,-0.112466,0.440617,1.219185,-0.244763,0.057935,-0.127272
0.001353,0.022214,0.767646,-0.023061,-0.027461,-0.695462,0.717667,0.151050,0.082017,0.146317,0.141300,-0.261020,-0.071548,0.166072,-0.117767,-0.356433,0.122381,-0.175047,0.120045,-0.010734,0.001484,0.187715,0.000077,0.189979,-0.586238,1.141749,0.055853,0.067661,0.260711,-0.087577,-0.111699,0.437276,1.217483,-0.243733,0.057756,-0.124474
0.001480,0.021941,0.767568,-0.023345,-0.027714,-0.695381,0.717727,0.152259,0.081924,0.146193,0.141502,-0.261952,-0.071311,0.167570,-0.117917,-0.356873,0.122055,-0.175265,0.120902,-0.011218,0.001143,0.187249,-0.001589,0.189759,-0.585378,1.142178,0.048398,0.065328,0.257880,-0.088404,-0.109931,0.430009,1.216807,-0.249793,0.058381,-0.124253
0.001569,0.021461,0.767496,-0.023746,-0.028125,-0.694784,0.718275,0.154129,0.081610,0.144722,0.141022,-0.262603,-0.072285,0.170227,-0.118119,-0.358527,0.121813,-0.176052,0.121267,-0.012309,0.000347,0.186232,-0.002428,0.189717,-0.583964,1.142014,0.053352,0.068822,0.259940,-0.087793,-0.108322,0.426754,1.215675,-0.251725,0.058996,-0.125544
0.001633,0.021139,0.767469,-0.023859,-0.028073,-0.694821,0.718238,0.154728,0.081925,0.145149,0.141179,-0.263138,-0.072340,0.170995,-0.117844,-0.358745,0.121373,-0.176058,0.121788,-0.011607,0.000023,0.183845,-0.003522,0.189899,-0.581948,1.141963,0.051945,0.069570,0.260533,-0.088403,-0.107038,0.428465,1.216815,-0.246277,0.057661,-0.126881
0.001750,0.020818,0.767378,-0.024324,-0.028444,-0.695000,0.718035,0.156720,0.082012,0.145607,0.141227,-0.263965,-0.072544,0.172581,-0.117844,-0.358085,0.121632,-0.176741,0.121872,-0.011052,0.000206,0.183614,-0.004079,0.190516,-0.579959,1.140745,0.050560,0.068987,0.260163,-0.086625,-0.105468,0.423831,1.214633,-0.249832,0.058543,-0.127395
0.001757,0.020568,0.767313,-0.024794,-0.028977,-0.694942,0.718054,0.158589,0.081936,0.145691,0.141579,-0.264886,-0.072396,0.174496,-0.117963,-0.358252,0.122058,-0.177630,0.121748,-0.009762,0.000006,0.182980,-0.005067,0.190929,-0.578486,1.140955,0.053095,0.069484,0.259512,-0.086004,-0.104789,0.425120,1.215382,-0.246979,0.057764,-0.127172
0.001705,0.020558,0.767249,-0.025604,-0.029430,-0.695014,0.717937,0.160745,0.082774,0.146160,0.141660,-0.265353,-0.073386,0.176554,-0.117197,-0.358367,0.121905,-0.177506,0.121634,-0.010695,0.000290,0.183196,-0.004995,0.191750,-0.576736,1.140512,0.054530,0.069405,0.260612,-0.086064,-0.103675,0.426425,1.216087,-0.244346,0.057128,-0.126904
0.001552,0.020674,0.767299,-0.026314,-0.030226,-0.695130,0.717766,0.162564,0.083158,0.146701,0.142672,-0.265061,-0.073479,0.178330,-0.117129,-0.357986,0.122682,-0.177829,0.121089,-0.011025,-0.000107,0.184244,-0.005156,0.192347,-0.576854,1.140286,0.054553,0.070040,0.260802,-0.086029,-0.102885,0.426695,1.215890,-0.243324,0.057408,-0.125509
0.001003,0.021333,0.767510,-0.026557,-0.030509,-0.695466,0.717420,0.162179,0.084292,0.147950,0.143337,-0.262417,-0.074755,0.177396,-0.116331,-0.357184,0.123468,-0.176861,0.119616,-0.011840,-0.001194,0.185270,-0.005782,0.193951,-0.578295,1.140206,0.055362,0.070190,0.261295,-0.087880,-0.100852,0.425777,1.216459,-0.244773,0.057251,-0.126536
0.000071,0.022417,0.767854,-0.026459,-0.031021,-0.695624,0.717248,0.160226,0.084845,0.148367,0.145008,-0.258419,-0.074849,0.175291,-0.116157,-0.356804,0.125488,-0.176103,0.116943,-0.012068,-0.003564,0.187327,-0.007340,0.195603,-0.581170,1.140407,0.055448,0.070061,0.261948,-0.089477,-0.099147,0.423800,1.216030,-0.248414,0.056906,-0.130365
-0.001430,0.024225,0.768281,-0.026366,-0.030931,-0.695746,0.717137,0.156080,0.087281,0.148256,0.146623,-0.253682,-0.076366,0.171457,-0.113980,-0.356563,0.126437,-0.173954,0.113513,-0.013351,-0.005229,0.189328,-0.010338,0.198095,-0.585038,1.141452,0.052324,0.069978,0.262448,-0.093567,-0.097688,0.425205,1.217711,-0.248272,0.056231,-0.131249
-0.003302,0.026868,0.768585,-0.027407,-0.031320,-0.697386,0.715487,0.154357,0.091959,0.151941,0.148591,-0.249853,-0.078674,0.167659,-0.109709,-0.352119,0.127794,-0.171095,0.108895,-0.010606,-0.005536,0.195587,-0.014907,0.200794,-0.586595,1.143109,0.052155,0.068704,0.261469,-0.099654,-0.097365,0.431494,1.219556,-0.240989,0.053375,-0.134127
